net,length_um
_0083_,8.06µm
_0559_,8.06µm
_0895_,8.06µm
_0431_,8.04µm
_0612_,8.02µm
_0641_,8.02µm
_0017_,8µm
_0594_,7.98µm
_0917_,7.98µm
_0754_,7.94µm
_0592_,7.935µm
x[14],7.93µm
_0378_,7.86µm
_0780_,7.86µm
_0524_,7.84µm
_0852_,7.8µm
_0667_,7.78µm
_0869_,7.78µm
_0602_,7.68µm
_0409_,7.64µm
_0628_,7.64µm
_0909_,7.64µm
_0540_,7.52µm
_0506_,7.44µm
_0773_,7.44µm
_0784_,7.44µm
_0487_,7.4µm
_0018_,7.35µm
_0802_,7.32µm
_0444_,7.28µm
_0606_,7.28µm
_0564_,7.24µm
_0309_,7.22µm
_0654_,7.22µm
_0581_,7.2µm
_0513_,7.18µm
_0482_,7.12µm
_0663_,7.12µm
net91,7.12µm
y[12],7.11µm
x[15],7.03µm
x[30],6.99µm
x[13],6.91µm
_0075_,6.9µm
_0334_,6.86µm
_0545_,6.86µm
_0582_,6.86µm
_0049_,6.8µm
_0072_,6.72µm
_0456_,6.72µm
_0625_,6.72µm
_0882_,6.64µm
_0512_,6.6µm
y[15],6.57µm
_0599_,6.55µm
_0570_,6.53µm
_0382_,6.52µm
net77,6.46µm
_0521_,6.4µm
_0907_,6.4µm
y[3],6.33µm
_0837_,6.3µm
_0621_,6.28µm
_0881_,6.2µm
net90,6.2µm
_0092_,6.18µm
_0401_,6.18µm
_0494_,6.18µm
_0593_,6.14µm
_0617_,6.12µm
y[7],6.09µm
_0054_,6.08µm
_0557_,6.07µm
x[2],5.97µm
y[10],5.97µm
_0051_,5.92µm
_0274_,5.92µm
_0468_,5.84µm
_0608_,5.84µm
_0800_,5.82µm
_0016_,5.72µm
_0558_,5.72µm
_0925_,5.72µm
_0595_,5.68µm
_0050_,5.62µm
_0440_,5.5µm
_0270_,5.48µm
_0910_,5.46µm
_0008_,5.44µm
y[1],5.41µm
_0752_,5.38µm
_0892_,5.36µm
_0445_,5.355µm
_0768_,5.34µm
_0765_,5.31µm
y[11],5.29µm
y[5],5.29µm
_0341_,5.28µm
_0434_,5.26µm
_0047_,5.22µm
_0118_,5.22µm
_0539_,5.22µm
_0721_,5.22µm
_0889_,5.16µm
_0319_,5.14µm
_0518_,5.02µm
_0776_,5.02µm
_0516_,4.92µm
_0887_,4.92µm
y[8],4.91µm
_0896_,4.88µm
_0294_,4.82µm
_0694_,4.82µm
_0829_,4.82µm
_0609_,4.8µm
_0614_,4.8µm
_0778_,4.8µm
_0878_,4.8µm
_0888_,4.8µm
_0868_,4.78µm
_0511_,4.7µm
x[4],4.61µm
y[13],4.61µm
_0019_,4.6µm
_0462_,4.56µm
_0767_,4.51µm
_0073_,4.48µm
_0607_,4.48µm
_0873_,4.48µm
_0014_,4.46µm
_0277_,4.46µm
_0058_,4.42µm
net65,4.42µm
_0657_,4.37µm
_0034_,4.36µm
_0496_,4.36µm
_0218_,4.34µm
_0301_,4.34µm
_0313_,4.34µm
_0649_,4.34µm
_0898_,4.34µm
net93,4.32µm
_0876_,4.22µm
_0853_,4.14µm
_0930_,4.12µm
_0485_,4.1µm
_0638_,4.1µm
_0291_,4.08µm
_0328_,4µm
_0481_,4µm
_0585_,3.98µm
_0673_,3.95µm
y[0],3.93µm
_0665_,3.88µm
_0902_,3.88µm
_0791_,3.86µm
net78,3.86µm
_0573_,3.78µm
_0235_,3.76µm
_0505_,3.76µm
net96,3.76µm
_0029_,3.74µm
_0923_,3.74µm
_0046_,3.66µm
_0217_,3.54µm
_0332_,3.54µm
_0333_,3.54µm
_0669_,3.49µm
_0661_,3.42µm
_0874_,3.42µm
_0880_,3.42µm
_0579_,3.41µm
_0056_,3.2µm
_0514_,3.15µm
_0546_,3.1µm
_0894_,3.1µm
_0897_,3.1µm
_0630_,3.08µm
_0639_,3.08µm
net68,3.08µm
_0922_,2.98µm
net76,2.98µm
_0603_,2.96µm
_0832_,2.91µm
_0028_,2.84µm
_0653_,2.84µm
_0020_,2.76µm
_0613_,2.74µm
_0228_,2.72µm
_0500_,2.72µm
_0053_,2.64µm
_0452_,2.64µm
_0865_,2.64µm
_0886_,2.64µm
_0569_,2.625µm
_0240_,2.62µm
_0847_,2.62µm
_0879_,2.62µm
_0915_,2.62µm
_0714_,2.52µm
net92,2.52µm
_0057_,2.5µm
_0320_,2.5µm
_0402_,2.5µm
_0470_,2.5µm
_0870_,2.5µm
_0885_,2.5µm
net66,2.5µm
_0052_,2.4µm
_0861_,2.4µm
_0026_,2.38µm
_0063_,2.3µm
_0883_,2.3µm
_0007_,2.18µm
_0298_,2.16µm
_0338_,2.16µm
_0517_,2.16µm
_0758_,2.16µm
_0863_,2.16µm
_0866_,2.16µm
_0553_,2.06µm
_0285_,1.94µm
_0941_,1.94µm
_0835_,1.84µm
_0499_,1.82µm
_0856_,1.775µm
_0766_,1.745µm
_0032_,1.72µm
_0843_,1.7µm
_0845_,1.7µm
_0867_,1.7µm
_0871_,1.7µm
_0335_,1.69µm
_0826_,1.65µm
_0045_,1.48µm
_0849_,1.48µm
_0899_,1.38µm
_0901_,1.38µm
_0322_,1.36µm
_0280_,1.26µm
_0893_,1.14µm
_0900_,1.14µm
_0321_,1.02µm
_0848_,1.02µm
_0561_,0.92µm
_0875_,0.92µm
_0891_,0.92µm
_0903_,0.92µm
_0939_,0.92µm
_0041_,0.46µm
_0651_,0.46µm
_0828_,0.46µm
